Start Time,Meter Start (Wh),Meter End(Wh),Meter Total(Wh),Total Duration (s),Charger_name
24.08.2018 09:50,50,50.00,0.00,37,NA
24.08.2018 09:51,50,50.00,0.00,38,NA
24.08.2018 09:51,73,118.52,45.52,56,NA
24.08.2018 09:53,105,116.66,11.66,76,NA
24.08.2018 09:54,121,144.77,23.77,19,NA
24.08.2018 09:54,132,132.00,0.00,18,NA
27.08.2018 09:16,39,483.18,444.18,515,NA
27.08.2018 09:24,507,547.25,40.25,48,NA
27.08.2018 09:25,537,1551.37,1014.37,1052,NA
29.08.2018 08:01,1546,2290.81,744.81,0,charger_3
29.08.2018 08:19,2433,2447.41,14.41,0,charger_3
29.08.2018 13:25,2441,18233.89,15792.89,0,charger_3
31.08.2018 06:45,138,5659.07,5521.07,35155,charger_2
31.08.2018 09:37,18220,18281.96,61.96,206,charger_3
31.08.2018 09:41,18263,18263.00,0.00,55,charger_3
03.09.2018 07:25,18263,28615.15,10352.15,92823,charger_3
06.09.2018 06:33,5660,5729.99,69.99,2939,charger_2
06.09.2018 07:27,5709,11062.20,5353.20,0,charger_2
06.09.2018 09:15,28619,31060.46,2441.46,0,charger_3
07.09.2018 11:06,31051,31051.00,0.00,150,charger_3
07.09.2018 11:09,31051,31051.00,0.00,10566,charger_3
07.09.2018 11:11,11044,11844.25,800.25,2808,charger_2
10.09.2018 08:09,31051,31931.17,880.17,172041,charger_3
10.09.2018 13:00,11842,38843.87,27001.87,85465,charger_2
12.09.2018 08:19,38829,38905.46,76.46,3900,charger_2
12.09.2018 08:20,31924,31978.91,54.91,184,charger_3
12.09.2018 08:23,31973,32002.81,29.81,1066,charger_3
19.09.2018 06:36,109370,111229.20,1859.20,9047,charger_3
12.09.2018 17:52,38897,40277.28,1380.28,1364,charger_2
13.09.2018 05:56,40270,62202.50,21932.50,18944,charger_2
13.09.2018 06:50,31998,74728.01,42730.01,36371,charger_3
13.09.2018 14:19,62197,69020.34,6823.34,61200,charger_2
14.09.2018 07:41,74714,82208.38,7494.38,11741,charger_3
17.09.2018 06:30,82179,108787.91,26608.91,85143,charger_3
17.09.2018 07:51,69009,75841.89,6832.89,7868,charger_2
18.09.2018 07:49,108777,109383.83,606.83,80031,charger_3
18.09.2018 08:55,75842,78612.44,2770.44,5704,charger_2
20.09.2018 09:31,111217,145137.80,33920.80,74534,charger_3
20.09.2018 17:14,78614,78665.92,51.92,46460,charger_2
21.09.2018 06:12,78659,92732.21,14073.21,32632,charger_2
21.09.2018 06:17,145121,153595.32,8474.32,32408,charger_3
24.09.2018 10:16,153579,153630.24,51.24,3721,charger_3
24.09.2018 11:39,92708,99226.61,6518.61,119289,charger_2
24.09.2018 13:01,153634,155926.99,2292.99,82209,charger_3
25.09.2018 13:19,155902,168587.50,12685.50,26842,charger_3
25.09.2018 20:47,168602,169151.22,549.22,3014,charger_3
25.09.2018 20:47,99210,99210.00,0.00,3015,charger_2
25.09.2018 21:37,169157,169221.15,64.15,30877,charger_3
25.09.2018 21:37,99210,99210.00,0.00,36118,charger_2
26.09.2018 10:39,99210,110998.79,11788.79,67820,charger_2
27.09.2018 05:51,110988,113116.47,2128.47,89730,charger_2
28.09.2018 06:48,113105,113105.00,0.00,3003,charger_2
28.09.2018 07:38,113105,113122.04,17.04,12,charger_2
28.09.2018 07:39,113106,113106.00,0.00,81,charger_2
05.10.2018 07:07,113106,113106.00,0.00,12,charger_2
04.10.2018 09:54,169219,171501.85,2282.85,2869,charger_3
05.10.2018 06:57,171485,178765.38,7280.38,259933,charger_3
05.10.2018 07:08,113106,115363.85,2257.85,3080,charger_2
08.10.2018 07:18,178770,178797.72,27.72,25074,charger_3
09.10.2018 11:14,178784,178859.59,75.59,13759,charger_3
09.10.2018 15:52,178834,190686.42,11852.42,51684,charger_3
10.10.2018 14:49,115345,148908.17,33563.17,55606,charger_2
11.10.2018 20:16,148914,172097.82,23183.82,294779,charger_2
12.10.2018 07:01,190699,193179.00,2480.00,365113,charger_3
18.10.2018 10:18,193176,193206.84,30.84,31,charger_3
18.10.2018 10:20,193200,193200.00,0.00,12,charger_3
18.10.2018 10:20,193200,200728.79,7528.79,339289,charger_3
22.10.2018 08:51,172091,176665.35,4574.35,25574,charger_2
23.10.2018 09:42,200733,220335.65,19602.65,101822,charger_3
23.10.2018 10:22,176675,183361.57,6686.57,606595,charger_2
30.10.2018 11:17,183362,186592.99,3230.99,247519,charger_2
30.10.2018 11:21,220334,227495.01,7161.01,599004,charger_3
02.11.2018 13:42,186579,193135.16,6556.16,342234,charger_4
12.11.2018 11:27,193116,200574.59,7458.59,17373,charger_4
15.11.2018 07:33,200590,202610.19,2020.19,349435,charger_4
19.11.2018 11:22,202596,202613.96,17.96,73727,charger_4
20.11.2018 10:17,227484,229519.49,2035.49,1334,charger_8
20.11.2018 10:39,229523,239145.42,9622.42,5094,charger_8
20.11.2018 12:04,239143,239380.54,237.54,506,charger_8
20.11.2018 12:12,239400,257821.99,18421.99,64064,charger_8
20.11.2018 16:22,570518,574388.06,3870.06,53821,NA
20.11.2018 17:35,202597,204165.59,1568.59,49403,charger_4
21.11.2018 09:15,257814,258086.45,272.45,270,charger_8
21.11.2018 12:17,204157,210495.84,6338.84,7101,charger_4
21.11.2018 13:49,258070,311852.76,53782.76,408432,charger_8
21.11.2018 15:27,210487,231428.44,20941.44,68112,charger_4
22.11.2018 11:05,231420,234153.11,2733.11,22719,charger_4
22.11.2018 21:39,234136,254135.58,19999.58,293825,charger_4
28.11.2018 06:19,574405,612334.05,37929.05,100665,charger_5
28.11.2018 13:18,311840,315718.68,3878.68,82869,charger_8
30.11.2018 07:37,315704,322516.19,6812.19,271385,charger_8
10.12.2018 11:06,322516,336225.23,13709.23,95724,charger_8
10.12.2018 12:51,612315,622847.64,10532.64,78108,charger_5
12.12.2018 07:59,336215,336215.00,0.00,40947,charger_8
12.12.2018 10:06,254130,291399.98,37269.98,83470,charger_4
13.12.2018 10:25,291389,296087.86,4698.86,22042,charger_4
13.12.2018 15:40,336215,342773.65,6558.65,67363,charger_8
14.12.2018 10:24,296081,303023.81,6942.81,336317,charger_4
14.12.2018 11:53,342753,345971.21,3218.21,243320,charger_8
19.12.2018 10:16,345954,350320.23,4366.23,8398,charger_8
19.12.2018 10:55,622842,626820.04,3978.04,0,charger_5
19.12.2018 12:58,303001,305467.35,2466.35,77621,charger_4
02.01.2019 11:53,305462,312490.76,7028.76,81412,charger_4
03.01.2019 11:14,312476,314995.23,2519.23,76327,charger_4
04.01.2019 09:55,315002,330766.86,15764.86,15433,charger_4
04.01.2019 14:12,330789,335138.41,4349.41,2221,charger_4
04.01.2019 14:49,335148,365565.26,30417.26,233959,charger_4
08.01.2019 13:46,365541,407157.10,41616.10,160428,charger_4
08.01.2019 15:16,350314,365041.10,14727.10,504641,charger_8
10.01.2019 11:10,407151,415720.33,8569.33,346623,charger_4
25.03.2019 11:26,672669,672669.00,0.00,7313,charger_4
26.03.2019 07:40,673358,682355.61,8997.61,10499,charger_4
26.03.2019 10:38,682349,682504.74,155.74,273,charger_4
26.03.2019 10:42,682489,682489.00,0.00,211,charger_4
26.03.2019 10:46,682489,682489.00,0.00,51,charger_4
26.03.2019 10:47,682489,684895.07,2406.07,17862,charger_4
27.03.2019 16:38,684865,726260.77,41395.77,64693,charger_4
02.04.2019 09:48,726247,727279.73,1032.73,0,charger_4
02.04.2019 10:13,727540,727612.88,72.88,131,charger_4
02.04.2019 10:19,727609,729619.61,2010.61,1270,charger_4
02.04.2019 11:15,729609,742351.26,12742.26,15297,charger_4
02.04.2019 15:30,742335,743086.01,751.01,5632,charger_4
03.04.2019 11:29,743048,750827.79,7779.79,19854,charger_4
03.04.2019 12:53,674348,675481.16,1133.16,14816,charger_8
03.04.2019 12:54,673828,674958.65,1130.65,6412,charger_5
04.04.2019 10:27,675539,675826.10,287.10,0,charger_8
08.01.2019 13:01,750941,750941.00,0.00,0,charger_4
08.01.2019 13:00,675813,675813.00,0.00,0,charger_8
08.01.2019 13:25,751354,751354.00,0.00,0,charger_4
08.01.2019 14:30,751683,751683.00,0.00,0,charger_4
09.01.2019 11:14,757935,757935.00,0.00,0,charger_4
13.01.2019 13:11,759027,759027.00,0.00,0,charger_4
14.01.2019 12:22,681920,681920.00,0.00,0,charger_8
14.01.2019 12:27,785298,785298.00,0.00,0,charger_4
09.01.2019 07:33,813513,813513.00,0.00,0,charger_4
13.01.2019 08:08,821673,821673.00,0.00,0,charger_4
13.01.2019 10:04,823198,823198.00,0.00,0,charger_4
13.01.2019 12:12,823198,823198.00,0.00,0,charger_4
14.01.2019 06:09,674961,674961.00,0.00,0,charger_5
15.01.2019 02:27,679088,679088.00,0.00,0,charger_5
20.01.2019 08:13,689166,689166.00,0.00,0,charger_8
20.01.2019 09:33,825582,825582.00,0.00,0,charger_4
20.01.2019 09:36,825586,825586.00,0.00,0,charger_4
21.01.2019 08:02,698577,698577.00,0.00,0,charger_5
21.01.2019 08:21,828567,828567.00,0.00,0,charger_4
23.01.2019 04:06,719960,719960.00,0.00,0,charger_5
23.01.2019 06:28,829361,829361.00,0.00,0,charger_4
23.01.2019 07:52,724524,724524.00,0.00,0,charger_5
23.01.2019 07:53,830402,830402.00,0.00,0,charger_4
23.01.2019 07:54,724537,724537.00,0.00,0,charger_5
23.01.2019 08:02,830431,830431.00,0.00,0,charger_4
23.01.2019 08:03,692695,692695.00,0.00,0,charger_8
23.01.2019 08:06,830451,830451.00,0.00,0,charger_4
23.01.2019 08:07,724743,724743.00,0.00,0,charger_5
23.01.2019 08:08,830470,830470.00,0.00,0,charger_4
23.01.2019 08:20,692730,692730.00,0.00,0,charger_8
23.01.2019 08:21,724867,724867.00,0.00,0,charger_5
26.01.2019 08:03,776293,779496.69,3203.69,75360,charger_5
26.01.2019 08:23,696086,702860.93,6774.93,80847,charger_8
27.01.2019 05:09,867324,869788.71,2464.71,7704,charger_4
27.01.2019 07:44,702854,717222.60,14368.60,16860,charger_8
27.01.2019 09:30,869775,873776.35,4001.35,56496,charger_4
28.01.2019 01:11,873775,875702.62,1927.62,0,charger_4
02.05.2019 11:05,875918,876281.61,363.61,821,charger_4
02.05.2019 11:24,876263,876299.00,36.00,0,charger_4
08.01.2019 13:50,876296,876346.55,50.55,0,charger_4
18.01.2019 18:30,769316,769553.49,237.49,127,charger_8
18.01.2019 18:33,888096,925704.32,37608.32,54955,charger_4
19.01.2019 08:28,769556,777703.67,8147.67,4874,charger_8
19.01.2019 08:53,802090,802690.38,600.38,959,charger_5
19.01.2019 09:49,802656,802674.80,18.80,3020411,charger_5
13.05.2019 07:58,802666,804329.64,1663.64,4513,charger_5
13.05.2019 10:11,804330,804681.09,351.09,942,charger_5
13.05.2019 10:33,926460,926479.75,19.75,110943,charger_4
13.05.2019 10:33,804674,830055.71,25381.71,100769,charger_5
13.05.2019 10:33,788327,788528.78,201.78,110702,charger_8
14.05.2019 18:55,927162,927171.77,9.77,49740,charger_4
08.01.2019 14:29,838573,838573.00,0.00,0,charger_5
08.01.2019 15:36,840919,840919.00,0.00,0,charger_5
08.01.2019 16:37,1079143,1079143.00,0.00,0,charger_4
11.01.2019 15:29,800619,800619.00,0.00,0,charger_8
11.01.2019 16:22,840925,840925.00,0.00,0,charger_5
12.01.2019 13:34,1105062,1105062.00,0.00,0,charger_4
12.01.2019 17:53,1106715,1106715.00,0.00,0,charger_4
13.01.2019 18:01,851465,851465.00,0.00,0,charger_5
15.01.2019 12:24,1107516,1107516.00,0.00,0,charger_4
16.01.2019 07:56,1115130,1115130.00,0.00,0,charger_4
27.01.2019 09:12,1115131,1115131.00,0.00,0,charger_4
12.01.2019 05:12,1118605,1128457.09,9852.09,3020397,charger_4
01.07.2019 12:47,1128522,1131847.22,3325.22,8976,charger_4
02.07.2019 18:46,1131830,1139717.21,7887.21,0,charger_4
08.01.2019 13:01,1139700,1139700.00,0.00,3020396,charger_4
03.07.2019 08:00,1139700,1139700.00,0.00,94534,charger_4
08.07.2019 13:27,1139700,1152354.09,12654.09,70938,charger_4
09.07.2019 12:00,1152350,1153691.83,1341.83,70653,charger_4
12.07.2019 08:15,1153684,1155445.00,1761.00,4949,charger_4
16.07.2019 10:13,1155428,1160290.59,4862.59,13412,charger_4
17.07.2019 11:21,1160278,1163048.07,2770.07,7288,charger_4
17.07.2019 13:23,1163062,1170323.99,7261.99,80204,charger_4
30.07.2019 11:14,1170312,1181866.50,11554.50,86559,charger_6
04.08.2019 09:50,1181849,1181849,0.00,24,charger_6
04.08.2019 11:51,1181850,1187669.65,5819.65,70909,charger_6
15.08.2019 09:36,1187667,1188452.39,785.39,2165,charger_6
15.08.2019 12:48,1188459,1193044.31,4585.31,0,charger_6
21.08.2019 04:54,21465,26344.64,4879.64,22586,charger_7
21.08.2019 12:57,1193443,1197233.13,3790.13,78521,charger_6
22.08.2019 10:45,1197207,1202457.29,5250.29,0,charger_6
08.01.2019 13:01,1202446,1204934.59,2488.59,0,charger_6
08.01.2019 13:01,1204910,1204910.00,0.00,10005,charger_6
08.01.2019 15:48,1204910,1204910.00,0.00,0,charger_6
26.08.2019 09:43,1204911,1204911.00,0.00,0,charger_6
27.06.2019 09:29,0,0.00,0.00,93211,charger_13
28.06.2019 13:05,0,0.00,0.00,248320,charger_12
03.07.2019 13:31,0,0.00,0.00,71978,charger_12
04.07.2019 15:28,0,0.00,0.00,398097,charger_12
04.07.2019 14:00,0,0.00,0.00,415981,charger_13
04.09.2019 08:07,8900,15102.28,6202.28,4886,charger_13
04.09.2019 09:56,15100,15688.67,588.67,22137,charger_13
11.09.2019 10:32,103200,105101.79,1901.79,15610,charger_12
12.09.2019 04:58,15700,15700.00,0.00,4200,charger_13
15.09.2019 10:36,105100,121013.70,15913.70,158899,charger_12
17.09.2019 12:14,29800,31418.53,1618.53,77794,charger_13
20.09.2019 10:11,121000,142107.33,21107.33,345376,charger_12
08.07.2019 10:12,72546,108499.53,35953.53,22779,charger_11
08.07.2019 16:32,108481,110209.37,1728.37,0,charger_11
06.08.2019 10:56,110198,112792.15,2594.15,240761,charger_11
15.08.2019 09:25,112778,119332.78,6554.78,443809,charger_11
20.08.2019 14:25,119318,120595.88,1277.88,64136,charger_11
21.08.2019 08:14,120604,120757.25,153.25,121,charger_11
21.08.2019 08:16,120731,120731.00,0.00,11,charger_11
21.08.2019 08:18,120731,120828.96,97.96,84,charger_11
21.08.2019 08:25,120800,120800.00,0.00,29,charger_11
21.08.2019 08:39,120800,122636.49,1836.49,1597,charger_11
21.08.2019 14:21,122636,126342.50,3706.50,73439,charger_11
02.07.2019 12:32,0,126350.92,126350.92,5140,charger_11
26.08.2019 11:12,126346,131199.08,4853.08,0,charger_11
02.07.2019 12:32,131185,131185.00,0.00,64730,charger_9
29.08.2019 15:04,131185,134244.89,3059.89,0,charger_9
29.08.2019 16:59,26342,40021.24,13679.24,57084,charger_10
03.09.2019 06:47,40019,41721.08,1702.08,4595,charger_10
03.09.2019 08:04,41717,41820.83,103.83,99000,charger_10
03.09.2019 10:42,41803,42772.93,969.93,89578,charger_10
04.09.2019 09:40,134241,134258.79,17.79,0,charger_9
04.09.2019 09:40,42760,42760.00,0.00,0,charger_10
05.09.2019 07:49,42760,44466.08,1706.08,0,charger_10
10.09.2019 08:44,134241,134241.34,0.34,0,charger_9
16.09.2019 17:59,134241,141026.63,6785.63,823282,charger_9
23.09.2019 13:44,44464,51286.50,6822.50,155923,charger_10
26.09.2019 06:46,141023,141023.00,0.00,6713,charger_9
26.09.2019 09:54,141023,141844.65,821.65,0,charger_9
05.08.2019 12:48,108099,130896.26,22797.26,5294,charger_16
30.08.2019 11:27,130884,140298.62,9414.62,5123,charger_16
27.09.2019 12:48,140309,152368.19,12059.19,3540,charger_16
23.07.2019 07:45,10,5430.59,5420.59,20185,NA
24.07.2019 10:13,10,28034.63,28024.63,0,NA
15.07.2019 21:27,28030,28435.52,405.52,431489,charger_14
21.07.2019 03:52,28420,32290.70,3870.70,55140,charger_14
21.07.2019 22:50,5420,24254.29,18834.29,12267,charger_15
07.08.2019 10:29,32290,49970.90,17680.90,15097,charger_14
07.08.2019 17:22,24250,29498.83,5248.83,143828,charger_15
19.08.2019 08:33,49960,52435.67,2475.67,5603,charger_14
20.08.2019 12:33,29490,81038.36,51548.36,73515,charger_15
27.08.2019 10:47,52420,56601.37,4181.37,93785,charger_14
28.08.2019 12:50,56590,56590.00,0.00,85411,charger_14
05.09.2019 07:23,81050,81050.00,0.00,14206,charger_15
23.09.2019 12:40,81050,81050.00,0.00,14,charger_15
23.09.2019 12:41,81050,81105.26,55.26,55,charger_15
23.09.2019 12:43,81080,86329.97,5249.97,151807,charger_15
24.09.2019 10:09,56590,56641.40,51.40,55,charger_14
25.09.2019 06:57,56630,56667.83,37.83,51,charger_14
31.07.2019 09:49,0,0.00,0.00,1995750,NA
05.09.2019 10:55,0,12695.83,12695.83,3587,charger_1
09.09.2019 05:47,0,33101.51,33101.51,6906,charger_1
11.09.2019 14:05,0,13807.38,13807.38,3726,charger_1
12.09.2019 11:05,0,35804.92,35804.92,7234,charger_1
16.09.2019 07:17,0,32996.70,32996.70,5240,charger_1
16.09.2019 09:33,0,17109.95,17109.95,4350,charger_1
